Region,Sub-region,Country,Year,Measure Names,Measure Values
Africa,Western Africa,Nigeria,2009,Rate,1.264863933
Africa,Western Africa,Nigeria,2009,Count,1952
Africa,Western Africa,Nigeria,2010,Rate,1.102185950
Africa,Western Africa,Cabo Verde,2010,Rate,41.206225997
Africa,Western Africa,Nigeria,2010,Count,1747
Africa,Western Africa,Cabo Verde,2010,Count,203
Africa,Western Africa,Cabo Verde,2011,Rate,42.697521138
Africa,Western Africa,Cabo Verde,2011,Count,213
Africa,Western Africa,Nigeria,2012,Rate,0.843156203
Africa,Western Africa,Cabo Verde,2012,Rate,52.054366134
Africa,Western Africa,Nigeria,2012,Count,1410
Africa,Western Africa,Cabo Verde,2012,Count,263
Africa,Western Africa,Nigeria,2013,Rate,1.040952273
Africa,Western Africa,Cabo Verde,2013,Rate,46.507992340
Africa,Western Africa,Nigeria,2013,Count,1788
Africa,Western Africa,Cabo Verde,2013,Count,238
Africa,Western Africa,Cabo Verde,2014,Rate,40.711898679
Africa,Western Africa,Cabo Verde,2014,Count,211
Africa,Western Africa,Senegal,2015,Rate,1.728578827
Africa,Western Africa,Cabo Verde,2015,Rate,41.925525022
Africa,Western Africa,Senegal,2015,Count,252
Africa,Western Africa,Cabo Verde,2015,Count,220
Africa,Western Africa,Senegal,2016,Rate,0.853702702
Africa,Western Africa,Cabo Verde,2016,Rate,40.855518319
Africa,Western Africa,Senegal,2016,Count,128
Africa,Western Africa,Cabo Verde,2016,Count,217
Africa,Western Africa,Cabo Verde,2017,Rate,39.814027561
Africa,Western Africa,Cabo Verde,2017,Count,214
Americas,Caribbean,Trinidad and Tobago,2004,Rate,49.065393395
Americas,Caribbean,St. Vincent and the Grenadines,2004,Rate,177.847401401
Americas,Caribbean,Barbados,2004,Rate,74.105556827
Americas,Caribbean,Trinidad and Tobago,2004,Count,633
Americas,Caribbean,St. Vincent and the Grenadines,2004,Count,193
Americas,Caribbean,Barbados,2004,Count,204
Americas,Caribbean,Trinidad and Tobago,2005,Rate,61.936124804
Americas,Caribbean,St. Vincent and the Grenadines,2005,Rate,104.955946123
Americas,Caribbean,Jamaica,2005,Rate,39.854014599
Americas,Caribbean,Grenada,2005,Rate,144.279462631
Americas,Caribbean,Barbados,2005,Rate,69.484655472
Americas,Caribbean,Bahamas,2005,Rate,135.140127075
Americas,Caribbean,Trinidad and Tobago,2005,Count,803
Americas,Caribbean,St. Vincent and the Grenadines,2005,Count,114
Americas,Caribbean,Jamaica,2005,Count,1092
Americas,Caribbean,Grenada,2005,Count,151
Americas,Caribbean,Barbados,2005,Count,192
Americas,Caribbean,Bahamas,2005,Count,439
Americas,Caribbean,Trinidad and Tobago,2006,Rate,61.648210590
Americas,Caribbean,St. Vincent and the Grenadines,2006,Rate,139.960590044
Americas,Caribbean,Jamaica,2006,Rate,41.460724495
Americas,Caribbean,Grenada,2006,Rate,93.388477005
Americas,Caribbean,Barbados,2006,Rate,72.078565637
Americas,Caribbean,Bahamas,2006,Rate,153.157398680
Americas,Caribbean,Trinidad and Tobago,2006,Count,803
Americas,Caribbean,St. Vincent and the Grenadines,2006,Count,152
Americas,Caribbean,Jamaica,2006,Count,1142
Americas,Caribbean,Grenada,2006,Count,98
Americas,Caribbean,Barbados,2006,Count,200
Americas,Caribbean,Bahamas,2006,Count,507
Americas,Caribbean,Trinidad and Tobago,2007,Rate,68.860101647
Americas,Caribbean,St. Vincent and the Grenadines,2007,Rate,133.620848538
Americas,Caribbean,Jamaica,2007,Rate,44.215995136
Americas,Caribbean,Grenada,2007,Rate,145.460768375
Americas,Caribbean,Barbados,2007,Rate,71.761493500
Americas,Caribbean,Bahamas,2007,Rate,174.873365008
Americas,Caribbean,Trinidad and Tobago,2007,Count,901
Americas,Caribbean,St. Vincent and the Grenadines,2007,Count,145
Americas,Caribbean,Jamaica,2007,Count,1224
Americas,Caribbean,Grenada,2007,Count,153
Americas,Caribbean,Barbados,2007,Count,200
Americas,Caribbean,Bahamas,2007,Count,590
Americas,Caribbean,Trinidad and Tobago,2008,Rate,59.264376176
Americas,Caribbean,St. Vincent and the Grenadines,2008,Rate,157.747622254
Americas,Caribbean,Jamaica,2008,Rate,52.914066047
Americas,Caribbean,Grenada,2008,Rate,160.254890619
Americas,Caribbean,Barbados,2008,Rate,61.083208905
Americas,Caribbean,Bahamas,2008,Rate,162.069366853
Americas,Caribbean,Trinidad and Tobago,2008,Count,779
Americas,Caribbean,St. Vincent and the Grenadines,2008,Count,171
Americas,Caribbean,Jamaica,2008,Count,1472
Americas,Caribbean,Grenada,2008,Count,169
Americas,Caribbean,Barbados,2008,Count,171
Americas,Caribbean,Bahamas,2008,Count,557
Americas,Caribbean,Trinidad and Tobago,2009,Rate,60.866622606
Americas,Caribbean,St. Vincent and the Grenadines,2009,Rate,191.148088981
Americas,Caribbean,St. Kitts and Nevis,2009,Rate,115.228708410
Americas,Caribbean,Jamaica,2009,Rate,46.712274920
Americas,Caribbean,Grenada,2009,Rate,150.302021988
Americas,Caribbean,Barbados,2009,Rate,61.898138431
Americas,Caribbean,Bahamas,2009,Rate,168.478260870
Americas,Caribbean,Trinidad and Tobago,2009,Count,804
Americas,Caribbean,St. Vincent and the Grenadines,2009,Count,207
Americas,Caribbean,St. Kitts and Nevis,2009,Count,56
Americas,Caribbean,Jamaica,2009,Count,1306
Americas,Caribbean,Grenada,2009,Count,159
Americas,Caribbean,Barbados,2009,Count,174
Americas,Caribbean,Bahamas,2009,Count,589
Americas,Caribbean,Trinidad and Tobago,2010,Rate,57.749762074
Americas,Caribbean,St. Vincent and the Grenadines,2010,Rate,155.181969333
Americas,Caribbean,St. Kitts and Nevis,2010,Rate,126.502213789
Americas,Caribbean,Jamaica,2010,Rate,52.873831510
Americas,Caribbean,Grenada,2010,Rate,104.493207941
Americas,Caribbean,Barbados,2010,Rate,59.901251546
Americas,Caribbean,Bahamas,2010,Rate,87.057948475
Americas,Caribbean,Trinidad and Tobago,2010,Count,767
Americas,Caribbean,St. Vincent and the Grenadines,2010,Count,168
Americas,Caribbean,St. Kitts and Nevis,2010,Count,62
Americas,Caribbean,Jamaica,2010,Count,1486
Americas,Caribbean,Grenada,2010,Count,111
Americas,Caribbean,Barbados,2010,Count,169
Americas,Caribbean,Bahamas,2010,Count,309
Americas,Caribbean,Trinidad and Tobago,2011,Rate,53.061713242
Americas,Caribbean,St. Vincent and the Grenadines,2011,Rate,423.764021604
Americas,Caribbean,St. Kitts and Nevis,2011,Rate,129.444601756
Americas,Caribbean,Jamaica,2011,Rate,71.091590314
Americas,Caribbean,Grenada,2011,Rate,117.992995336
Americas,Caribbean,Barbados,2011,Rate,65.020654659
Americas,Caribbean,Bahamas,2011,Rate,66.187778621
Americas,Caribbean,Trinidad and Tobago,2011,Count,709
Americas,Caribbean,St. Vincent and the Grenadines,2011,Count,459
Americas,Caribbean,St. Kitts and Nevis,2011,Count,64
Americas,Caribbean,Jamaica,2011,Count,2009
Americas,Caribbean,Grenada,2011,Count,126
Americas,Caribbean,Barbados,2011,Count,184
Americas,Caribbean,Bahamas,2011,Count,238
Americas,Caribbean,Trinidad and Tobago,2012,Rate,76.441797899
Americas,Caribbean,St. Vincent and the Grenadines,2012,Rate,161.387006040
Americas,Caribbean,Jamaica,2012,Rate,103.302877281
Americas,Caribbean,Grenada,2012,Rate,196.366749805
Americas,Caribbean,Dominican Republic,2012,Rate,0.533686923
Americas,Caribbean,Barbados,2012,Rate,58.160438212
Americas,Caribbean,Bahamas,2012,Rate,82.237520663
Americas,Caribbean,Trinidad and Tobago,2012,Count,1028
Americas,Caribbean,St. Vincent and the Grenadines,2012,Count,175
Americas,Caribbean,Jamaica,2012,Count,2936
Americas,Caribbean,Grenada,2012,Count,211
Americas,Caribbean,Dominican Republic,2012,Count,53
Americas,Caribbean,Barbados,2012,Count,165
Americas,Caribbean,Bahamas,2012,Count,299
Americas,Caribbean,Trinidad and Tobago,2013,Rate,45.873999415
Americas,Caribbean,St. Vincent and the Grenadines,2013,Rate,210.818971866
Americas,Caribbean,Jamaica,2013,Rate,92.314365570
Americas,Caribbean,Grenada,2013,Rate,136.819139888
Americas,Caribbean,Dominican Republic,2013,Rate,79.576203968
Americas,Caribbean,Barbados,2013,Rate,59.797252140
Americas,Caribbean,Trinidad and Tobago,2013,Count,621
Americas,Caribbean,St. Vincent and the Grenadines,2013,Count,229
Americas,Caribbean,Jamaica,2013,Count,2639
Americas,Caribbean,Grenada,2013,Count,148
Americas,Caribbean,Dominican Republic,2013,Count,7996
Americas,Caribbean,Barbados,2013,Count,170
Americas,Caribbean,Trinidad and Tobago,2014,Rate,66.723578674
Americas,Caribbean,Jamaica,2014,Rate,81.526549865
Americas,Caribbean,Grenada,2014,Rate,142.332415060
Americas,Caribbean,Dominican Republic,2014,Rate,83.254797259
Americas,Caribbean,Dominica,2014,Rate,0
Americas,Caribbean,Barbados,2014,Rate,57.579215308
Americas,Caribbean,Bahamas,2014,Rate,85.801011804
Americas,Caribbean,Trinidad and Tobago,2014,Count,909
Americas,Caribbean,Jamaica,2014,Count,2344
Americas,Caribbean,Grenada,2014,Count,155
Americas,Caribbean,Dominican Republic,2014,Count,8463
Americas,Caribbean,Dominica,2014,Count,0
Americas,Caribbean,Barbados,2014,Count,164
Americas,Caribbean,Bahamas,2014,Count,318
Americas,Caribbean,Trinidad and Tobago,2015,Rate,50.717636310
Americas,Caribbean,Jamaica,2015,Rate,70.805361699
Americas,Caribbean,Grenada,2015,Rate,118.609892065
Americas,Caribbean,Dominican Republic,2015,Rate,65.563279117
Americas,Caribbean,Dominica,2015,Rate,133.473832104
Americas,Caribbean,Barbados,2015,Rate,67.992163377
Americas,Caribbean,Bahamas,2015,Rate,80.705505077
Americas,Caribbean,Antigua and Barbuda,2015,Rate,75.878210129
Americas,Caribbean,Trinidad and Tobago,2015,Count,695
Americas,Caribbean,Jamaica,2015,Count,2047
Americas,Caribbean,Grenada,2015,Count,130
Americas,Caribbean,Dominican Republic,2015,Count,6741
Americas,Caribbean,Dominica,2015,Count,95
Americas,Caribbean,Barbados,2015,Count,194
Americas,Caribbean,Bahamas,2015,Count,302
Americas,Caribbean,Antigua and Barbuda,2015,Count,71
Americas,Caribbean,St. Vincent and the Grenadines,2016,Rate,98.659870098
Americas,Caribbean,Jamaica,2016,Rate,53.884019294
Americas,Caribbean,Grenada,2016,Rate,207.685261602
Americas,Caribbean,Dominican Republic,2016,Rate,62.580907005
Americas,Caribbean,Dominica,2016,Rate,117.800496445
Americas,Caribbean,Barbados,2016,Rate,63.681341367
Americas,Caribbean,Bahamas,2016,Rate,78.587437123
Americas,Caribbean,Antigua and Barbuda,2016,Rate,84.638171815
Americas,Caribbean,St. Vincent and the Grenadines,2016,Count,108
Americas,Caribbean,Jamaica,2016,Count,1566
Americas,Caribbean,Grenada,2016,Count,229
Americas,Caribbean,Dominican Republic,2016,Count,6507
Americas,Caribbean,Dominica,2016,Count,84
Americas,Caribbean,Barbados,2016,Count,182
Americas,Caribbean,Bahamas,2016,Count,297
Americas,Caribbean,Antigua and Barbuda,2016,Count,80
Americas,Caribbean,Puerto Rico,2017,Rate,37.677688866
Americas,Caribbean,Jamaica,2017,Rate,54.710138973
Americas,Caribbean,Grenada,2017,Rate,179.483016758
Americas,Caribbean,Dominica,2017,Rate,135.740274279
Americas,Caribbean,Barbados,2017,Rate,60.091744722
Americas,Caribbean,Bahamas,2017,Rate,84.086664274
Americas,Caribbean,Antigua and Barbuda,2017,Rate,86.979303118
Americas,Caribbean,Puerto Rico,2017,Count,1192
Americas,Caribbean,Jamaica,2017,Count,1598
Americas,Caribbean,Grenada,2017,Count,199
Americas,Caribbean,Dominica,2017,Count,97
Americas,Caribbean,Barbados,2017,Count,172
Americas,Caribbean,Bahamas,2017,Count,321
Americas,Caribbean,Antigua and Barbuda,2017,Count,83
Americas,Central America,Mexico,2004,Rate,27.570231613
Americas,Central America,Guatemala,2004,Rate,2.836617845
Americas,Central America,Mexico,2004,Count,28815
Americas,Central America,Guatemala,2004,Count,363
Americas,Central America,Panama,2005,Rate,23.511946050
Americas,Central America,Mexico,2005,Rate,27.000562237
